Item Code,Item Description,Item Alias Name,Item Category,Item Touch Category,Item Group,Item UOM,Item Row,Item Column,Item Rate,Item TaxStructure Code,Kitchen,Size,Font,Cost Price,Short Code,HSN Code
361,JACOB CREEEK CHARDONNAY BTL,,WHITE WINE,WHITE WINE,LIQUOR,,,,4500,GST5%,BAR,,,,,
362,SULA SAUVIGNON BLANC  BTL,,WHITE WINE,WHITE WINE,LIQUOR,,,,2500,GST5%,BAR,,,,,
363,FRATELLI SAUVIGNON BLANC BTL,,WHITE WINE,WHITE WINE,LIQUOR,,,,3000,GST5%,BAR,,,,,
364,JACOB CREEEK CHARDONNAY GLASS,,WHITE WINE,WHITE WINE,LIQUOR,,,,900,GST5%,BAR,,,,,
365,SULA SAUVIGNON BLANC  GLASS,,WHITE WINE,WHITE WINE,LIQUOR,,,,500,GST5%,BAR,,,,,
366,FRATELLI SAUVIGNON BLANC GLAS,,WHITE WINE,WHITE WINE,LIQUOR,,,,600,GST5%,BAR,,,,,
367,BAAREE HOOKA PAAN FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
368,BAAREE HOOKA DOUBLE APPLE FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
369,BAAREE HOOKA SPRING WATER FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
370,BAAREE HOOKA GRAPE FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
371,BAAREE HOOKA ORANGE FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
372,BAAREE HOOKA MANGO FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
373,BAAREE HOOKA MONT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
374,BAAREE HOOKA MINT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
375,BAAREE HOOKA VANILLA FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
376,BAAREE HOOKA STRAWBEERY FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
377,BAAREE HOOKA WATERMELON,,HOOKAH,HOOKAH,HOOKA,,,,3000,GST5%,HOOKA,,,,,
378,BAAREE MIXING PAAN & ORANGE FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
379,BAAREE MIXING PAAN & MINT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
380,BAAREE MIXING  ORANGE & PAAN FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
381,BAAREE MIXING MANGO & PAAN FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
382,BAAREE MIXING SPRING WATER & MINT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
383,BAAREE MIXING SEA BREEZE FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
384,BAAREE MIXING GRAPE & MINT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
385,BAAREE MIXING VANILA & MINT FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
386,BAAREE MIXING PAAN & VANILLA FLAVOUR,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
387,BAAREE MIXING MANGO & KIWI & SPRING WATER,,HOOKAH,HOOKAH,HOOKA,,,,3500,GST5%,HOOKA,,,,,
388,BAAREE SPECIAL & COMMISSIONER FLAV,,HOOKAH,HOOKAH,HOOKA,,,,4000,GST5%,HOOKA,,,,,
389,BAAREE SPECIAL & DUBAI SPECIAL,,HOOKAH,HOOKAH,HOOKA,,,,4000,GST5%,HOOKA,,,,,
390,BAAREE SPECIAL BRAIN BAZAAR FLAV,,HOOKAH,HOOKAH,HOOKA,,,,4000,GST5%,HOOKA,,,,,
391,BAAREE CHIEF COMMISSINER FLAV,,HOOKAH,HOOKAH,HOOKA,,,,4000,GST5%,HOOKA,,,,,
392,BAAREE SPECIAL P.M.C. FLAV,,HOOKAH,HOOKAH,HOOKA,,,,4000,GST5%,HOOKA,,,,,
